param,value,NS,NA,N,Kgh,dp_price,mc_mean,mc_CI_half,abs_error,dp_runtime_s
NA,61,201,61,60,7,5.940604400598528,5.857448410903446,0.03477257620532992,0.08315598969508198,9101.448639499955
NA,81,201,81,60,7,5.914539913566523,5.857448410903446,0.03477257620532992,0.057091502663077165,34.124260399956256
NA,101,201,101,60,7,5.898445196442634,5.857448410903446,0.03477257620532992,0.040996785539188174,42.48233609995805
NA,141,201,141,60,7,5.879686303393546,5.857448410903446,0.03477257620532992,0.02223789249010011,332.93596919998527
NA,181,201,181,60,7,5.869115824421905,5.857448410903446,0.03477257620532992,0.01166741351845868,428.5690081000794
