style,r,price
euro,0.0,4.725736692859606
euro,0.02,4.1715485649142945
euro,0.05,3.450057261848243
euro,0.08,2.8284803949214954
berm,0.0,5.223112451357359
berm,0.02,4.718244429422178
berm,0.05,4.074703186995013
berm,0.08,3.5282240854751072
amer,0.0,5.309972623337959
amer,0.02,4.810298259345054
amer,0.05,4.178625126231014
amer,0.08,3.6397473818451425
