style,sigma,price
euro,0.1,1.2765100986784708
euro,0.2,3.450057261848243
euro,0.3,5.679097031607828
euro,0.4,7.94889805331315
euro,0.5,10.242396220176607
berm,0.1,1.653271683908009
berm,0.2,4.074703186995013
berm,0.3,6.530064105481447
berm,0.4,9.012626058629635
berm,0.5,11.5069744509283
amer,0.1,1.7130839344602151
amer,0.2,4.178625126231014
amer,0.3,6.673740320586057
amer,0.4,9.191982437331273
amer,0.5,11.727148545540013
