style,M,price
euro,12,3.564458955679557
euro,24,3.4936499644970263
euro,52,3.469114603734776
berm,12,3.8760453784676354
berm,24,3.9531232085918364
berm,52,4.073902047478855
amer,12,4.108824967752779
amer,24,4.132710615808241
amer,52,4.188525569406964
